FIELD	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
Archiver	read	mbsebbs/change.c	851	36	exitinfo	exitinfo.Archiver	"Syslog('+', ""Old archiver %s"", exitinfo.Archiver);"
Archiver	read	mbsebbs/change.c	920	47	exitinfo	exitinfo.Archiver	"snprintf(temp, 81, ""%s %s"", Language(89), exitinfo.Archiver);"
Archiver	read	mbsebbs/change.c	923	36	exitinfo	exitinfo.Archiver	"Syslog('+', ""New archiver %s"", exitinfo.Archiver);"
Archiver	read	mbsebbs/dispfile.c	572	28	exitinfo	exitinfo.Archiver	"snprintf(temp, 81, ""%s"", exitinfo.Archiver);"
Archiver	read	mbsebbs/offline.c	1393	53	exitinfo	exitinfo.Archiver	if (archiver.available && (!strcmp(archiver.name, exitinfo.Archiver))) {
Archiver	read	mbsebbs/offline.c	2143	53	exitinfo	exitinfo.Archiver	if (archiver.available && (!strcmp(archiver.name, exitinfo.Archiver))) {
Archiver	read	mbsebbs/offline.c	2866	56	exitinfo	exitinfo.Archiver	if (archiver.available && (!strcmp(archiver.name, exitinfo.Archiver))) {
Archiver	read	mbsebbs/user.c	354	9	usrconfig	usrconfig.Archiver[0]	if (usrconfig.Archiver[0] == '\0') {
Archiver	read	mbsetup/m_users.c	610	21	usrconfig	usrconfig.Archiver	show_str( 17,17, 5,usrconfig.Archiver);
Archiver	read	mbsetup/m_users.c	1104	43	usrconfig	usrconfig.Archiver	"add_webtable(wp, (char *)""Archiver"", usrconfig.Archiver);"
Archiver	write	mbsebbs/change.c	918	13	exitinfo	exitinfo.Archiver	strncpy(exitinfo.Archiver, archiver.name, 6);
Archiver	write	mbsebbs/user.c	355	2	usrconfig	usrconfig.Archiver[0]	usrconfig.Archiver[0] = 'Z';
Archiver	write	mbsebbs/user.c	356	2	usrconfig	usrconfig.Archiver[1]	usrconfig.Archiver[1] = 'I';
Archiver	write	mbsebbs/user.c	357	2	usrconfig	usrconfig.Archiver[2]	usrconfig.Archiver[2] = 'P';
Archiver	write	mbsetup/m_users.c	155	5	user	user->Archiver[sizeof(user->Archiver) - 1]	user->Archiver[sizeof(user->Archiver) - 1] = '\0';
Archiver	write	mbsetup/m_users.c	676	32	usrconfig	usrconfig.Archiver	strcpy(usrconfig.Archiver, temp);
Charset	read	mbnntp/auth.c	157	20	usrconfig	usrconfig.Charset	usercharset = usrconfig.Charset;
Charset	read	mbsebbs/change.c	1121	52	exitinfo	exitinfo.Charset	"Syslog('+', ""Old character set %s"", getftnchrs(exitinfo.Charset));"
Charset	read	mbsebbs/change.c	1148	36	exitinfo	exitinfo.Charset	"if (((strcmp(temp, """")) == 0) && (exitinfo.Charset != FTNC_NONE)) {"
Charset	read	mbsebbs/change.c	1157	53	exitinfo	exitinfo.Charset	"Syslog('+', ""New character set %s"", getftnchrs(exitinfo.Charset));"
Charset	read	mbsebbs/change.c	1159	36	exitinfo	exitinfo.Charset	setlocale(LC_CTYPE, getlocale(exitinfo.Charset));
Charset	read	mbsebbs/change.c	1160	14	exitinfo	exitinfo.Charset	utf8 = (exitinfo.Charset == FTNC_UTF8);
Charset	read	mbsebbs/dispfile.c	568	39	exitinfo	exitinfo.Charset	"snprintf(temp, 81, ""%s"", getftnchrs(exitinfo.Charset));"
Charset	read	mbsebbs/email.c	292	9	exitinfo	exitinfo.Charset	if (exitinfo.Charset != FTNC_NONE) {
Charset	read	mbsebbs/email.c	293	82	exitinfo	exitinfo.Charset	"snprintf(temp, PATH_MAX, ""\001Content-Type: text/plain; charset=%s"", getrfcchrs(exitinfo.Charset));"
Charset	read	mbsebbs/email.c	465	39	exitinfo	exitinfo.Charset	chartran_init(charsin, get_ic_ftn(exitinfo.Charset), 'b');
Charset	read	mbsebbs/mail.c	1306	39	exitinfo	exitinfo.Charset	chartran_init(charsin, get_ic_ftn(exitinfo.Charset), 'b');
Charset	read	mbsebbs/msgutil.c	207	8	exitinfo	exitinfo.Charset	if (exitinfo.Charset != FTNC_NONE) {
Charset	read	mbsebbs/msgutil.c	208	88	exitinfo	exitinfo.Charset	"snprintf(temp, PATH_MAX, ""\001Content-Type: text/plain; charset=%s"", getrfcchrs(exitinfo.Charset));"
Charset	read	mbsebbs/msgutil.c	224	9	exitinfo	exitinfo.Charset	if (exitinfo.Charset != FTNC_NONE) {
Charset	read	mbsebbs/msgutil.c	225	54	exitinfo	exitinfo.Charset	"snprintf(temp, PATH_MAX, ""\001CHRS: %s"", getftnchrs(exitinfo.Charset));"
Charset	read	mbsebbs/user.c	269	13	usrconfig	usrconfig.Charset	utf8 = (usrconfig.Charset == FTNC_UTF8);
Charset	read	mbsebbs/user.c	485	9	exitinfo	exitinfo.Charset	if (exitinfo.Charset == FTNC_NONE) {
Charset	read	mbsebbs/user.c	489	35	exitinfo	exitinfo.Charset	setlocale(LC_CTYPE, getlocale(exitinfo.Charset));
Charset	read	mbsetup/m_users.c	611	21	usrconfig	usrconfig.Charset	show_charset(18,17,usrconfig.Charset);
Charset	read	mbsetup/m_users.c	680	54	usrconfig	usrconfig.Charset	case 13:usrconfig.Charset = edit_charset(18,17, usrconfig.Charset); break;
Charset	read	mbsetup/m_users.c	1105	59	usrconfig	usrconfig.Charset	"add_webtable(wp, (char *)""Character set"", getftnchrs(usrconfig.Charset));"
Charset	write	fortytwo-auth/src/legacy_userdb_provision.c	446	5	record	record->Charset	record->Charset = registration->defaults.charset;
Charset	write	mbsebbs/change.c	1156	6	exitinfo	exitinfo.Charset	exitinfo.Charset = i;
Charset	write	mbsetup/m_users.c	680	14	usrconfig	usrconfig.Charset	case 13:usrconfig.Charset = edit_charset(18,17, usrconfig.Charset); break;
Cls	read	mbsetup/m_users.c	618	21	usrconfig	usrconfig.Cls	show_bool(10,71,   usrconfig.Cls);
Cls	read	mbsetup/m_users.c	1111	58	usrconfig	usrconfig.Cls	"add_webtable(wp, (char *)""Clear Screen"", getboolean(usrconfig.Cls));"
Cls	write	fortytwo-auth/src/legacy_userdb_provision.c	433	5	record	record->Cls	record->Cls = 1U;
Cls	write	mbsebbs/newuser.c	520	5	usrconfig	usrconfig.Cls	usrconfig.Cls          = TRUE;
Cls	write	mbsetup/m_users.c	689	34	usrconfig	usrconfig.Cls	"case 18:E_BOOL(10,71,usrconfig.Cls,          ""Send ^ClearScreen code^ to users terminal""); break;"
Credit	read	mbsebbs/offline.c	1241	25	exitinfo	exitinfo.Credit	Inf.credits = le_us(exitinfo.Credit);
Credit	read	mbsetup/m_users.c	535	29	usrconfig	usrconfig.Credit	show_int( 14,17,    usrconfig.Credit);
Credit	read	mbsetup/m_users.c	1073	41	usrconfig	usrconfig.Credit	"add_webdigit(wp, (char *)""Credit"", usrconfig.Credit);"
Credit	write	mbsetup/m_users.c	860	26	usrconfig	usrconfig.Credit	"case 5 :E_INT( 14,17,   usrconfig.Credit,         ""Users ^Credit^""); break;"
